,comments,category
10139,29 жастағы АҚШ-тың Мэн штатының тұрғыны Джилл Ламонтань 14 рет сексуалдық зорлыққа барды деп айыпталуда.,negative
10140,Ол өзі сабақ беретін оқушысымен бірнеше рет интимдік қатынасқа түскен деп хабарлайды life.ru-ға сілтеме жасаған NUR.KZ.,negative
10141,Көрнекі фото RRnews.ru,neutral
10142," Өз оқушысымен төсектес болған Джилл – тұрмыстағы әйел, екі баланың анасы.",negative
10143,Біраз уақыттан бері оқушысымен интимдік қатынасқа түсіп келген.,negative
10144,"Алайда қателігін түсінген жігіт жасаған әрекеттеріне өкініп, өзіне қол салмақ болады.",negative
10145,Абырой болғанда өлімнен оны жақындары құтқарып қалыпты.,negative
10146,Ертеңіне ол туысына не себепті мұндай қадамға барғанын айтып берген.,negative
10147,Осыдан бастап Джилл ұстаз полицияның назарына ілігеді.,negative
10148,Сот барысында оқушының анасы баласының мұғалімге деген ыстық ықыласы туралы айтып берді.,negative
10149,Ұлым - ұстазына ғашық болып қалғанын мойындады.,negative
10150,"Олар сыныпта, көлікте және оның үйінде бірнеше рет жыныстық қатынасқа түскен екен және апайы оған екі жыл ешкіммен төсек қатынасында болмағанын айтыпты, - дейді ол.",negative
10151,Өзіне қол жұмсап өлгісі келсе де махаббатқа басы айналған жігіт мұғалімнің түрмеде отыруын қаламаған.,negative
10152,"Осыған қарамастан, Джилл Ламонталь қамауға алынып, 1000 АҚШ Доллары кепілдемесін төлеп бостандыққа жәберілді.",negative
10153,Зорлыққа қатысты қылмысы үшін мұғалім екі жыл бойы бұрынғы оқушысымен араласуға тыйым салынады.,negative
10154,Қазіргі уақытта осыған қатысты сот процесстері жалғасуда.,negative
10155,Келесі отырыс 22-желтоқсанға жоспарланды.,negative
10156,Заң бойынша әйел бес жылға дейін бас бостандығынан айырылуы мүмкін.,negative
10157,"Бізбен бөлісер қызықты жаңалығыңыз болса, NUR.KZ порталының WhatsApp нөміріне жолдаңыз  7 747 535 12 98",neutral
10158," Куала-Лумпурде 19 жастағы атақты голландиялық модель 20-қабаттан жалаңаш күйінде құлап, қаза болды.",negative
10159,Бойжеткен өзіне қол жұмсады деген болжам бар.,negative
10160,Алайда марқұмның ата-анасы оның денесінен соққыдан көгерген іздерді байқаған.,negative
10161,Сол себепті істі қайта қарауды талап етіп отыр деп хабарлайды freemalaysiatoday.com сайтына сілтеме жасаған NUR.KZ.,negative
10162,Коллаж freemalaysiatoday.com,neutral
10163,Қайғылы оқиғаны полициялар өзіне қол жұмсады деп жылы жауып қойған.,negative
10164,Бірақ өлімді жұмбақтап тұрған дәлелдер жетерлік.,negative
10165,"Мәселен, Ивана Смит таңғы жетілер шамасында көз жұмады.",negative
10166,Бірақ полицияға оның өлгені туралы күндіз сағат 15-00-де хабарланған.,negative
10167,"Сондай-ақ, Ивананың әкесі Роберт Смит мәйітханада қызының денесін көргенде оның мойын тұсынан соққының ізіне ұқсас көк дақтарды байқапты.",negative
10168,Фото facenews.ua,neutral
10169,Модель көз жұмардан бір күн бұрын пәтерлес америкалық азамат пен қазақстандық әйелдің отбасымен бірге болған.,negative
10170,Қайғылы оқиға орын алған үйдің көршілері таңға жуық айқай-шу естігендерін айтады.,negative
10171,"Істі тексеру барысында полицейлер Ивананың алкогольдік ішімдік, экстаз және амфетамин қабылдағанын анықтады.",negative
10172,Алайда өлімнің негізгі себебі бұл болмауы мүмкін дейді Ивананы жоқтаушылар.,negative
10173,Әзірге қыздың киім-кешегі табылды.,negative
10174,Ал іш киім мен аяқ киімін полиция таба алмады.,negative
10175,"Бізбен бөлісер қызықты жаңалығыңыз болса, NUR.KZ порталының WhatsApp нөміріне жолдаңыз  7 747 535 12 98",neutral
10176," Ел алдында жүрген арулар, жұлдыз болғанына қарамастан келіндік міндетінен қашып құтылмақ емес.",positive
10177,"Олардың бірі әлі күнге дейін қамыр жая алмаса, енді бірі өзіне тиісті парызының кейбірін орындамайтын көрінеді деп хабарлайды НТК арнасындағы Ревю бағдарламасына сілтеме жасаған NUR.KZ.",negative
10178,Фото gakku.kz,neutral
10179,Кейбір кездері өзімді ыңғайсыз сезінем.,neutral
10180,"Көбінесе түсірілімдерде жүрем, гастрольдік сапарларым бар.",neutral
10181,"Содан кейін, үйге келгенде ішімдегі нәрселерім, ыңғайсыздық болып тұрады да.",neutral
10182,"Ойбу, мен тамақ жасаған жоқпын, үй жинаулы емес деген сияқты, - әнші дейді Аша Матай.",negative
10183,"Түсірілімдерден дамыл көрмейтін Аша Матай, келіндік міндетін бұлжытпай орындауға тырысады.",positive
10184,"Отбасының отымен кіріп, күлімен шығуға әрдайым әзір.",positive
10185,Ал әнші Шахизада кезінде нағыз жұлдызды келін болғанын айтады.,positive
10186,"Енем бір, үйді жинаймын, көмектесейін деп бауырсақ жасап жатыр екен.",positive
10187,"Барып бірдеңеге көмектесейін десем, жо-жо-жоқ айналайын көмектеспей-ақ қой, өзім жасаймын, тырнақтарың сынып қалады деді, - дейді әнші Шахизада.",positive
10188,"Ал Қазақстан аруы Айдай Исаеваның Шымкентке келін атанғанына бірнеше жыл болса да, отбасылық өмірде білетіні бір тоғыз, білмейтіні тоқсан тоғыз екен.",negative
10189,Айдай Исаева.,neutral
10190,Фото Instagram парақшасынан алынды,neutral
10191,Мен әлі күнге дейін қамырды жая алмаймын.,negative
10192,Үйде қайын сіңліммен бірге тұрамыз.,neutral
10193,"Ол торт жағынан, илеу жағынан маған үйретеді негізі.",positive
10194,"Бірақ мені кішкентай кезімде мамам ешқашан жұмсаған емес, - дейді модель Айдай Исаева.",negative
10195,"Ал актриса Айнұр Ілиясованың, жас келіндерге өз айтары бар.",neutral
10196,"Тек қана жаңа жұртқа үйрену керек, жаңа туысқандарға үйрену керек.",neutral
10197,Оларды ең бастысы жүрекпен сүю керек.,positive
10198,"Сонда бәрі жақсы болады, - дейді актриса Айнұр Ілиясова.",neutral
10199,"Бізбен бөлісер қызықты жаңалығыңыз болса, NUR.KZ порталының WhatsApp нөміріне жолдаңыз  7 747 535 12 98",neutral
10200,Британтиялық журнал танымал модельдің түк басқан қолтығын видеоға түсірген.,negative
10201,Бұл туралы life.ru-ға сілтеме жасаған NUR.KZ хабарлайды.,neutral
10202,Фото желіден алынды,neutral
10203,Love Magazine британтиялық журналы америкалық модель Джиджи Хадидтің қатысуымен арнайы күнтізбені шығарды.,neutral
10204,"Онда бойжеткен бокстан шеберлігін, мінсіз мүсіні мен табиғи шынайылығы – қолтықтағы түгін көрсеткен.",negative
10205,Видеоға түскеннен кейін желіде Джиджиді сынаушылар көбейді.,negative
10206,Жұлдыздың жанкүйерлері түктерінің қалыңдығынан жиіркеніп кеткенін айтады.,negative
10207,"Ал кейбірі, керісінше, арудың табиғат берген ерекшелікті көрсетуге ұялмағанын батылдыққа санайды.",neutral
10208,Жиіркенетін ештеңесі жоқ!,neutral
10209,Қайта оның идеясына ризамын.,positive
10210,"Өзінің тәуелсіз екенін көрсетті, Мына видеоны жүктеген адам тез арада өшіруі керек немесе оған ескерту берілсін.",neutral
10211,Әйелдің мінін ашып тұр емес пе?,negative
10212,Бұл сұмдық!,negative
10213,Өзін-өзі сондай ақымақ етіп көрсеткен деп түрлі пікірлерін жаудырды желі қолданушылары.,negative
10214,"Бізбен бөлісер қызықты жаңалығыңыз болса, NUR.KZ порталының WhatsApp нөміріне жолдаңыз  7 747 535 12 98",neutral
10215," Тілі мен діні басқа ұлтпен некелесіп, отау құру оңай шаруа емес.",neutral
10216,"Мұндай отбасылардың көбі уақыт өте шайқалып жатса, кейбірі сәтті шығып көпшілік сүйсіне қарайды.",neutral
10217,Бүгінгі мақаламызда махаббатын өзге елдің азаматынан тапқан қазақ қызының тағдыры жайлы болмақ деп хабарлайды NUR.KZ.,neutral
10218,Әсел мен Алекс.,neutral
10219,"2018 жылы жобасы дайындалған жалпы құны 8,5 млрд.",neutral
10220,теңгені құрайтын 110 киловольттық Алатау және Ақжар қосалқы станцияның құрылысын мемлекеттік-жекеменшік әріптестік аясында жүзеге асыру жоспарлануда.,neutral
10221,Сарыағашта мектеп директоры қол астындағы мұғалімді ұрып жіберген.,negative
10222,"Білім ұясының басшысы мектепте кабинеттің есігін құлыптап қойып, ұзтазды соққыға жығыпты.",negative
10223,Соқының салдарынан мұғалім есінен танып қалған деп хабарлайды NUR.KZ порталының өңірдегі тілшісі.,negative
10224,Мектеп директоры мұғалімді ұрды.,negative
10225,Скриншот Видеодан,neutral
10226," Бұл сұмдық жағдай Сарыағаш ауданы, Махамбет Өтемісұлы атындағы №52 жалпы орта мектебінде болған.",neutral
10227,"Оқушыны тәрбилейтін білім ұясындағы қызметкерлер тәрбиесіз қылық көрсетіп, жұрттың жағасын ұстатты.",negative
10228,Мектеп директоры мен ұстаздар арасындағы дауға жаңа орынбасардың жұмысқа келуі себеп болған.,neutral
10229,Директор қоластындағы ұзтаздарға өзінің жаңа орынбасарын таныстырған.,neutral
10230,"Ал, ұстаздар қауымы болса, орынбасарлық қызметке келген азаматты мектеп директорының туысы деп қарсы шыққан.",negative
10231,"Сөйтіп, мұғалімдер бірігіп басшысына қарсы арыз жазады.",negative
10232,"Мұны байқап қойған директор арызды көрсетуін талап етіп, қол астындағы қызметкерлерге қоқан лоқы көрсетіпті.",negative
10233,"Мектеп басшысы кабинеттің есігін жауып қойып, өзіне қарсы шыққан мұғалімді ұрып жібереді.",negative
10234,Хатшылар кабинетінде арыз жазып отырған едім.,neutral
10235,Директор Әділ ағай келіп не істеп жатсыңдар деді?,neutral
10236,Біз арыз жазып жатқанымызды айттық.,neutral
10237,"Сосын ағай бірден қолымыздағы қағазға жабысып, жабылып кетті.",negative
10238,Сосын есікті жауып шығармай қойды.,negative
10239,"Мен есікті ашыңыз деп жақындаған кезімде мені ұрып, ұшырып жіберді.",negative
10240,Мен талып қалдым дейді -басшысынан зәбір көрген мұғалім Майра Момынқұлова.,negative
10241,Директордан таяқ жеген мұғалімді көрген әріптестері көмекке полицияны шақыртады.,negative
10242,Сондай-ақ басшысынан таяқ жеген азаматша аудандық прокуратураға да арызданыпты.,negative
10243,"Ал, мұғалімге қол көтерген директор Әділ Исаевтың өзі бұл ақпаратты теріске шығарды.",neutral
10244,"Айтуынша, қоластындағы қызметкерлерге былай тұрсын Әйеліме де қол көтермеймін деп ақталды.",neutral
10245,Мұғалімнің қолындағы арызды талап етуіне бірнеше жағдай себеп болыпты.,neutral
10246,Өйткені хатшы кабинетінде отырған мұғалімдер мектепке қажетті құжаттарға қол тигізді деп күдіктенген.,negative
10247,"Айта кетейік, Сарыағаш ауданындағы №52 мектебінде директор мен мұғалімдер арасындағы бұл алғашқы дау емес.",negative
10248,Білім ұясындағы ұзтаздар мұның алдында басшысын жемқор деп айыптаған еді.,negative
10249,Өйткені білім ұясында ұзтаздардан еш себепсіз үнемі ақша жиналады екен.,negative
10250,Бір топ ұстаздар директордың сорақы әрекетін әшкерлеу үшін талай есікті тоздырған.,negative
10251,"Әнші Меруерт Түсіпбаева Instagram желісіндегі парақшасында Төреғали Төреәлінің Павлодар облысындағы ән кешінде аузына келгенді айтып, қарияны залдан қуғанына қатысты пікір білдірді деп хабарлайды NUR.KZ.",negative
10252,Жерлестеріме сонша зекігені жаныма батты.,negative
10253,"Көбі қарапайым адамдар... Жерлестерім сабырлы...Орысшалау...Көбі анау айтылған сөздердің ішінен кредит дегенін ғана ұққан шығар... Ақтауға немесе Шымкентке барып, сахнадан солай айқайласа не болар еді?",neutral
10254,"!,- деп жазды Меруерт.",neutral
10255,Әнші жазбасының пікір білдіру қызметін бұғаттап қойған.,negative
10256,"Әртіс болса өз кезегінде тыңдарманының айтқан сөзіне ренжіп, залды босатуын талап еткен.",negative
10257,"Видеоны көрген желі қолданушылары әншінің бұл қылығын қатаң сынап, оның тым шектен шығып кеткенін айтты.",negative
10258,Мынау не сұмдық?!,negative
10259,"Өзін тағы Ұлы дала баласымын дейді, мәдениеттен жұрдай екен!, Сахнаға шығуға тыйым салу керек.",negative
10260,"Өзін қатты жұлдыз сезініп кеткен мына бала, Бұрыннан өркөкірек қой.",negative
10261,"Бірақ осы жолы шын келбетін көрсетті, Не деген тәрбиеден жұрдай жігіт.",negative
10262,Айтып тұрған сөзін қара.,negative
10263,"Сені аспанға көтерген халық, бір сәтте-ақ шаңыңды қағып түсіретін де халық.",negative
10264,"Осыны ұмытпа, бауырым!,- деп жазған тыңдармандар.",negative
10265,"Еске салсақ, кеше кешке Төреғали Төреәлінің Павлодар облысында өткен ән кешінде қарияны залдан қуған видеосы желіні шарлап кетті.",negative
10266,"Көрермендердің айтуынша, залдағы жасы ересек кісінің бірі әншіден суретке түсе бермей, ән айтуды сұраған.",neutral
10267,Қазақстандық танымал продюсер Баян Мақсатқызы жаңа туындысының тұсауын кесті.,positive
10268,Мәңгілік махаббатқа арналған Қозы Көрпеш – Баян Сұлу сериалының көрсетіліміне атышулы Ақбота Сейтмағамбет те келді.,neutral
10269,Ұстазын кезекті жаңа туындысымен құттықтаған Кешьюдің экс әншісі бұрынғы продюсерімен татуласқандарын жеткізді деп хабарлайды NUR.KZ.,positive
10270,Жаңа жылдық түсірілім.,neutral
10271,Фото Instagram,neutral
10272," Мен бүгін Баян Мақсатқызын, басты рөлді сомдаған Ержанды және барлық Shine продакшнды құттықтауға арнайы келдім, - деп сөзін бастады Ақбота.",positive
10273,Әнші сонымен қатар бұрынғы продюсерімен қазіргі қарым-қатынастары жайлы да сөз қозғады.,neutral
10274,"Мен ол кісімен ұрысып кеткен жоқпын, арамызда кикілжің болған жоқ.",positive
10275,"Бірақ, Баян ханымның қоштаспай кеткенім үшін реніші болған.",negative
10276,"Аллаға шүкір, қазір жақсы.",positive
10277,"Мен ол кісіге хабарластым, бірге түсірілімдерге қатысып жүрміз, - деді.",positive
10278,"Ақбота бұрынғы продюсері өзі жеке әнші ретінде жұмыс істеуге қайта шақырса, қарсы еместігін жеткізді.",positive
10279,Арадағы үзілістен кейін Баян Мақсатқызы өзін жақсы қабылдағанын айтты.,neutral
10280,"Ол Ақботаны балалы болғанымен құттықтап, ақыл-кеңестерімен бөліскен.",positive
10281,"Мен саған ренжіген жоқпын, сен де жас болдың, мен сені түсінемін.",positive
10282,"Алға қарай ұмтылу керек және ең бастысы Shine продакшн сенің екінші үйің екенін ұмытпа!, - деген Баян.",neutral
10283,"Сөз соңында Ақбота өзінің Баян ханымның Shine продакшн сенің екінші – үйің!,- деген сөзіне ерекше қуанып жүргенін жеткізді.",positive
10284,"Еске салсақ, Дәурен Айдарқұловпен түсірілім алаңындағы махаббаттан кейін, Ақбота Сейітмағамбет Кешью тобынан емханада жатқан продюсеріне бір ауыз сөз айтпай, кетіп қалған болатын.",negative
10285,БАҚ беттеріне берген сұхбатында әнші бұл қылығы үшін Баяннан ұялып жүргеніне жеткізген.,neutral
10286,"Алтыншы сыныпта оқитын алматылық оқушы Мирас Көшербаев шағын құс фабрикасын ашып, жеке кәсібін бастады деп хабарлайды ҚазАқпарат сайтына сілтеме жасаған NUR.KZ.",positive
10287,12 жасар алматылық оқушы жеке кәсібін дөңгелетіп отыр.,positive
10288,Фото ҚазАқпарат,neutral
10289, Мирас әр күн сайын өзінің құс фабрикасының жұмысын тексеріп барып қана мектепке жол тартады.,positive
10290,Жас та болса жалынды өрен Таmоs физика-математика бағытындағы мектептің 6-шы сынып оқушысы.,neutral
10291,Жас бала кішкентай кезінен-ақ квадрацикл сатып алуды армандаған екен.,neutral
10292,Мирастың әжесі немересіне квадрациклды сатып алуға ақшаны өзің тауып алсаң қалай?,neutral
10293,деп ұсыныс білдіріпті.,neutral
10294,"Тіпті әжесі кәсіп бастау үшін алғашқы қаржыны немересінің қолына ұстатып, ақыры Мирас бұл жұмысқа үлкен жауапкершілікпен кірісіп кеткен.",positive
10295,Үйдің ауласында бос жатқан үлкен алаң бар.,neutral
10296,Мирас өзінің кәсібі үшін осы аумақты пайдалануды шешті.,neutral
10297,Жазғы демалысында фазендада әкесіне көмектесті.,positive
10298,"Әкесі мал ұстап, көп болмаса да тауық асырайтын еді.",neutral
10299,"Осы себепті, Мирас тауық асырауға мақсатты түрде кірісті, - дейді жас кәсіпкердің әпкесі Гүзәл Сағынтаева.",positive
10300,"Жаңасын сатып алуға қалтасы көтермегендіктен, Мирас балапандарды асырауға арналған брудерлердің жылы орынға қойылатын қорап сызбасын интернеттен көріп, балапандарға арналған жылы мекенжайды өз қолымен жасап алған.",positive
10301,Мирастың кәсібі осылай ілгері басты.,positive
10302,Алдымен 100 балапан сатып алды.,neutral
10303,Бұл оның бірінші партиясы болатын.,neutral
10304,Қажетті жемді әр түрлі жеткізушілерден алды.,neutral
10305,12 жасар алматылық оқушы жеке кәсібін дөңгелетіп отыр.,positive
10306,Фото ҚазАқпарат,neutral
10307, Балапандарға талапқа сай келеді деген жемді берді.,neutral
10308,"Тауықтарға антибиотик немесе гармондардан тыс, тек экологиялық таза жем түрлерін береді.",positive
10309,45-50 күн асырағаннан кейін туыстарына сатады.,positive
10310,"Бірінші партиядан түскен ақшаға Мирас тағы 200 балапан сатып алды, - дейді Гүзәл Сағынтаева.",positive
10311,Қазір бала кәсіпкер тіпті бір адамды жұмысқа орналастырып қойыпты.,positive
10312,"Мақсаты - тауықтың санын мыңға жеткізіп, қаз, үйрек, күркетауық секілді өзге де үй құстарын өсіру.",positive
10313,"Сонымен бірге, Мирас ауыл шаруашылығы өнімдерін саудалайтын жеке дүкенін ашуды көздеп отыр.",positive
10314,Мирастың кішкене кезінен еңбекке деген құлшынысы ерекше.,positive
10315,Өзі де мал бағып өскен бала.,positive
10316,Атамыз белгілі агроном Шыныбек бәрімізді жазда ауылдағы жұмысқа көмек қолын созуға үйреткен.,positive
10317,"Отбасымыздың еңбекке әуес болуының себебі сол атамыздың тәрбиесі деп ойлаймын, - дейді Гүзәл Сағынтаева.",neutral
10318,Еліміздегі беделді радиолардың бірі OrdaFM сахнада тұрып залдағы қарияға балағат сөз айтқан Төреғали Төреәлінің барлық әндерін радиодан алып тастады деп хабарлайды NUR.KZ.,negative
10319,Еліміздегі беделді радио Төреғалидың барлық әндерін эфирден алып тастады.,negative
10320,Фото Интернет желісінен,neutral
10321," OrdaFM радиосының жетекшісі ретінде, кеше желіде тараған әнші Төреғали Төреәлінің сахнада көрсеткен өнерінен соң, біз радио ұжымы болып әншінің барлық әндерінің эфирден алынып тасталғанын хабарлаймын!",negative
10322,"Сахнадағы өрескел қылығы үшін концертке келген көрермендерден кешірім сұрауын талап етеміз!,- деп жазды радио жетекшісі Азамат Исаев желідегі парақшасында.",negative
10323,"Ақылың бар жігітсің ғой, Төреш!",positive
10324,Елден безіп қайда барасың?,neutral
10325,"Кешірім сұрап, ел алдына шық!",positive
10326,"Шашпен сырғаны жыр ғып жүргенде, қате болыпты мұның.",negative
10327,"Концертте ел тұрып кетпегеніне қарағанда, сол залдағылар сені түсінген ғой.",negative
10328,"Қатең болса мойындап, анық - қанығын айт!",positive
10329,"Кешірімді xалықпыз, түсінер сені,- деп жазды ол Instagram парақшасында.",neutral
10330,"Сондай-ақ шоу-бизнес саласында жүрген продюсер Зарина Мүсілім Бұттарына тырысқан шалбар киіп, құлақтарына сырға тақты деп жас жігіттерді сынаған ағалардың Төреғалиға келгенде үндемей отырғанына қынжылды.",negative
10331,Баяғыда бір топты сәнді джинси кигені үшін Бұттары түскен шалбар кигені несі?,negative
10332,деп сынаған еді ағалар.,negative
10333,Былтыр бір топпен имидж үшін бір сахнада өнер көрсетуден бас тартып еді.,negative
10334,Неге сахнада боқтық айтып тұрған әншіге қарсы ешқайсысы ештеңе жазбай жатыр?,negative
10335,Журналистерді ренжіткенде үндемеді ешкім.,negative
10336,"Әр қазақ менің жалғызым!- деп жүргендер залдағы мың қазаққа түкірді?,- деп ашынды Зарина.",negative
10337,Бүгін Алматы қаласында 1700-ден астам бала қатысқан әкімдік шыршасы өтті.,positive
10338,Кішкентай бүлдіршіндерді құттықтауға қала әкімі Бауыржан Байбектің өзі келді деп хабарлайды Әкімдіктің ресми сайтына сілтеме жасаған NUR.KZ.,positive
10339,Данэлия Төлешова Алматы әкімінің жаңа жылдық шыршасында ән айтты.,positive
10340,Фото Әкімдік сайты,neutral
10341, Біз үнемі жас алматылықтардың жетістіктері туралы үлкен мақтанышпен айтамыз.,positive
10342,"Сендер жыл сайын халықаралық олимпиадаларда, ғылыми жобалар конкурстарында үлкен марапаттарға ие болып келесіңдер.",positive
10343,"Тек 2017 жылдың өзінде ғана алматылық оқушылар 61 алтын, 76 күміс, 90 қола медальдарды жеңіп алды.",positive
10344,"Мемлекет өз кезегінде сендерге үнемі қамқорлық көрсетуде, үздік білім алып, жан- жақты жетіліп өсу үшін барлық жағдайларды жасауда.",positive
10345,"Осының барлығы сендердің ақылды, денсаулығы мықты ұрпақ болып қана қоймай, Қазақстанды сүюге, оны әлемге танытуларыңа ықпал етеді, ал біз сендер үшін мақтанатын боламыз.",positive
10346,"Мен бүгін сендерге жүректерінің жылуын ұсынып, мерекелік концертке қатысқан барлық кішкентай артистерге алғыс айтамын, - деп атап өтті Алматы әкімі.",positive
10347,Данэлия Төлешова Алматы әкімінің жаңа жылдық шыршасында ән айтты.,positive
10348,Фото Әкімдік сайты,neutral
10349, Әр баланың жетістігі - бұл барша еліміздің жетістігі.,positive
10350,"Данэлия, барлық қазақстандықтар сен үшін мақтанады.",positive
10351,"Саған зор табыстар тілеймін, дарынды баладан әлемдік деңгейдегі жұлдызға айналуыңа тілектеспін.",positive
10352,Мен сенің анаң Еленаны да құттықтаймын.,neutral
10353,"Әр бала жеңісінің артында ата - аналардың, әсіресе оның анасының зор еңбегі тұрады, - деді Бауыржан Байбек.",positive
10354,"Балалар үшін Жаңа жылдық ғажайыптар деп аталатын мерекелік бағдарламаны цирк артистері дайындады, лазер шоуының жарығымен үйретілген аңдар, акробаттар, жонглерлер, клоундар және басқалары өнер көрсетті.",positive
10355,"Мерекелік шара барысында қала әкімінің атынан кішкентай қонақтарға сыйлықтар, соның ішінде ата- аналары балаларын бақылап отыратын электронды жүйедегі GPS-сағаттар, кеңсе тауарлары, даму ойындары, жұмсақ ойыншықтар, граттаж бен суретшілер үшін жиынтықтар, тәтті сыйлықтар және басқалары тапсырылды.",positive
10356,"Павлодарда өткен концертінде залдағы көрерменді қуған видеосы желіні шарлап, халықтың наразылығын туғызғаннан кейін Төреғали Төреәлі Instagram желісінде тікелей эфирге шығып, халықтан кешірім сұрады.",positive
10357,Әртіс оқиғаның қалай болғанын өз аузымен айтып берді деп хабарлайды NUR.KZ.,neutral
10358,Төреғали Төреәлі елді шулатқан әрекеті үшін ақыры кешірім сұрады.,positive
10359,Фото Интернет желісінен,neutral
10360, Ассалаумағалейкум!,positive
10361,"Асыға күтіп отырған шығарсыздар, өзімде жанымды қоярға жер таппай кеттім.",negative
10362,"Осылай мүмкіндікті пайдаланып, тікелей эфирге шығуға тура келді.",negative
10363,"Кешегі ағамызды қолымнан келгенше кешірім сұрау үшін іздеп көрдім, таба алмадым.",positive
10364,"Анда-мұнда іс сапарда жүргеннен кейін пендеміз ғой, жүйке сыр беріп, ашуға бой алдырып қойғаным рас.",negative
10365,Шынымен қытығыма тиген сөздерді көп айтты.,negative
10366,"Ол жерде менің кешім болғаннан кейін, бәріне өзім жауап берейін дедім.",negative
10367,Кешке ауырып шыққан едім.,negative
10368,Сарыарқаның аязын жақсы білесіздер.,neutral
10369,"Көп адам менен сөз, әңгіме күтеді.",neutral
10370,"Мен ақын болғаннан кейін бір әнді орындар алдында ол әннің қалай шыққанын, авторын айтуға міндеттімін.",positive
10371,Соны халық Көп сөйлейді дейді.,negative
10372,"Концертте кішкентай бүлдіршіндер суретке түскісі келеді, сахнаға шығады.",neutral
10373,Мен олардың ешқашан бетін қайтарғым келмейді.,positive
10374,"Халықтан алдымен рұқсат сұраймын,- деді ол.",positive
10375,Кейіннен кешелі бері Қазнетті шулатқан видеодағы оқиғаның қалай басталғанын баяндады.,neutral
10376,Балконнан бір кісінің даусы естілді.,neutral
10377,"Ей, Төреғали тоқтат суретке түсуді деді.",negative
10378,Мен үндеген жоқпын.,positive
10379,"Сіздердің ауыл көке, өздеріңіз білесіздер дедім.",neutral
10380,Бір концерттерде Ерке қайда?,negative
10381,деп айқайлап-шулайтын кездер болады.,negative
10382,Мен оған мән бермейтінмін.,neutral
10383,"Екінші рет тағы гүл беріп, сөйлеп жатыр еді тағы да айқайлады.",negative
10384,Оған да үндеген жоқпын.,positive
10385,"Үрген иттің бәріне жауап берсем, аузымда не қасиет қалады дедім.",positive
10386,Жаңағы балконда отырған ағамыз үшінші рет тағы да айқайлады.,negative
10387,"Ол кезде Ей, Төреғали сен Қызылорданы масқара-ғып жүрген адамсың деді.",negative
10388,Менде басымнан сөз асырмаймын.,negative
10389,"Ей, көке, Қызылорданың намысын жыртып жүрген мен ба, сен ба?",negative
10390,дедім.,neutral
10391,"Мен Қызылорданыкімін, сен масқара-ғып жүрсің деді де, аузына келгенді айтып кетті.",negative
10392,Сосын мен шыдамай кет дедім.,negative
10393,Сіздер оның боқтық айтқан видеосын көрген жоқсыздар.,neutral
10394,Мен өз кешімде келген қонаққа кет дейтін соншалық тәрбиесіз емеспін.,positive
10395,"Егер, менікі дұрыс болмаса Павлодардағы халықтың бәрі ақымақ емес қой, ағайын.",positive
10396,Радиодан әндерді алып тастапты.,negative
10397,"Оған қуанып, қосылып жатқандарда бар екен.",negative
10398,Мен бірақ еліме аямай қызмет етемін.,positive
10399,Мұндай сынақтардың бірнешеуінен өттім.,positive
10400,"Әдейі жасалған кездерде болды,- деді ол тікелей эфирде.",negative
10401,Болған оқиға менің де жаныма батты деген әнші өзінің ашуға тез бой алдыратынын мойындады.,negative
10402,"Кішкене қаным қызба, тез ашуға бой алдырып қоятыным рас.",negative
10403,Бірақ ешкімге өздігімнен барып шүйліккен емеспін.,positive
10404,Сол себепті сіздерге түсінікті болсын дедім.,neutral
10405,"Қаншама жанашыр, ағайын-туыс хат жазып жатыр, барша Қазақстан шулап кетті.",negative
10406,Сол себепті сіздердің алдарыңызға шығуға бел будым.,positive
10407,Мен сіздерден үлкен емеспін.,positive
10408,"Мен жетістікке жетсем өз қабілетім мен талантымнан емес, әуелі -Алла, екінші сіздердің қолдауларыңызбен!",positive
10409,Алдымыздағы аға-әпкелеріміз өз кеңестерін айтып жатыр.,neutral
10410,"Әр жердің салты басқа, адамдары әртүрлі болады.",neutral
10411,"Тек шамыма тигені бүкіл Павлодардың халқын тыңдатып қойып Ей, Төреғали сен Қызылорданы позор-ғып жүрсің дегені,- деп ақталды әнші.",negative
10412,Сондай-ақ ол Instagram парақшасындағы видеоны не себепті өтірік деп салғанын түсіндірді.,negative
10413,Видео толық нұсқа болмағаннан кейін оны өтірік деп жаздым.,negative
10414,"Уақыт келеді ғой, түсіндіремін ба десем ушығып бара жатыр.",negative
10415,"Жүректеріңіздің кеңдігіне, патша көңілдеріңізге салып қате кеткен, ағаттық жасаған жерім болса Алланың атымен сіздерден кешірім сұраймын!",positive
10416,Бұл оқиға менің де жаныма қатты батып жатыр.,negative
10417,"Бас жарылып, қол сынған жоқ.",negative
10418,"Ешкімді қорлап, зорлаған жоқпыз.",negative
10419,Тек әдеттегідей басымнан сөз асыра алмадым.,negative
10420,"Балалығым шығар, 25 толғандағы шалалығым сол шығар.",positive
10421,"Жаным, ағайын кешіріңдерші!",positive
10422,Үлкен кісіге олай сөйлегім келген жоқ.,positive
10423,"Ол кісіні көрсем мен міндетті түрде кешірім сұраймын, ол кісі де менен сұрайтын шығар деп ойлаймын.",positive
10424,"Бір кісі келіп менің маңдайымнан соғып, мен барып оныкінен соқсам бәрібір мен кінәлі болады екенмін.",positive
10425,"Мүмкін мен өзгеруім керек шығар, мен тырысамын.",neutral
